journal
Applied Psychology: An International Review
"Cognition, Technology and Work"
European Journal of Work and Organizational Psychology
Human Performance
International Journal for Educational and Vocational Guidance
International Journal of Selection and Assessment
International Journal of Stress Management
Journal of Applied Psychology
Journal of Business and Psychology
Journal of Career Assessment
Journal of Career Development
Journal of Employment Counseling
Journal of Managerial Psychology
Journal of Occupational and Organizational Psychology
Journal of Occupational Health Psychology
Journal of Organizational Behavior
Journal of Personnel Psychology
Journal of Vocational Behavior
Organizational Behavior and Human Decision Processes
Personnel Psychology
Psychologist-Manager Journal
Revue Europeenne de Psychologie Appliquee
"Scandinavian Journal of Work, Environment and Health"
South African Journal of Industrial Psychology
Work
Work and Stress
Zeitschrift fur Arbeits- und Organisationspsychologie
